[СОВА] 04:31:12 СОВА v2: 805 unis, concurrency=4, dry=false
  OK aalto-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK aarhus-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK ac-badem-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK academic-coaching: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK aberdeen: ielts=null toefl=null duolingo=null gpa=3 exams=[SAT,ACT,GMAT,GRE,MCAT] conf=0.88 status=found
  OK adler: ielts=null toefl=null duolingo=null gpa=3 exams=[] conf=0.86 status=found
  OK adelphi: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK admission-consultancy: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK advanced-placement-ap-exams: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK adelaide: ielts=null toefl=null duolingo=null gpa=null exams=[UCAT] conf=0.83 status=found
  OK amity-university-dubai: ielts=5 toefl=null duolingo=null gpa=3 exams=[GMAT,GRE] conf=0.89 status=found
  OK alexander-college: ielts=null toefl=null duolingo=null gpa=1.5 exams=[] conf=1.00 status=found
  OK asu-london: ielts=null toefl=null duolingo=null gpa=3 exams=[] conf=0.92 status=found
  OK ashland: ielts=null toefl=67 duolingo=null gpa=3 exams=[SAT,ACT,GMAT,GRE] conf=0.87 status=found
  OK auburn: ielts=null toefl=79 duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK basis-mclean: ielts=null toefl=null duolingo=null gpa=null exams=[SAT] conf=0.83 status=found
  OK bau-global: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK berk-alyeni: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK bilgi-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK california-miramar-university: ielts=6.5 toefl=71 duolingo=null gpa=2.5 exams=[SAT,ACT,GMAT,GRE] conf=0.92 status=found
  OK canadian-universities-to-elevate-your-career: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK canberra: ielts=null toefl=null duolingo=null gpa=null exams=[ACT] conf=0.83 status=found
  OK canberra-sydney: ielts=null toefl=null duolingo=null gpa=null exams=[ACT] conf=0.83 status=found
  OK centennial-college: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK charles-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK cleveland-state: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT,GMAT,GRE] conf=0.83 status=found
  OK constructor: ielts=null toefl=null duolingo=110 gpa=null exams=[SAT,ACT] conf=0.92 status=found
  OK corvinus-university-of-budapest: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK cy-tech-cergy-paris-university: ielts=6 toefl=80 duolingo=null gpa=null exams=[] conf=0.86 status=found
  OK czech-technical-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK czech-university-of-life-sciences: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK data-protection-information: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK dcu-successfull-career-services: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK dli-bandung: ielts=null toefl=68 duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK dublin-city-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK eastern-mediterranean-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK epita-school-of-engineering-and-computer-science: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK curtin-university-dubai: ielts=6 toefl=null duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK eu-business-school-germany: ielts=null toefl=93 duolingo=null gpa=3 exams=[] conf=1.00 status=found
  OK eu-business-school-switzerland: ielts=null toefl=null duolingo=null gpa=3 exams=[GMAT] conf=1.00 status=found
  OK exam-prep: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK eynesbury: ielts=null toefl=81 duolingo=null gpa=2.5 exams=[SAT,ACT,UCAT] conf=0.87 status=found
  OK fanshawe-college: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK fontys-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK fox-temple: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE] conf=0.83 status=found
  OK gre-gmat-exams: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK goldey-beacom-college: ielts=6.5 toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.85 status=found
  OK humber-college: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK hofstra: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK hult: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK icn-creactive-business-school: ielts=5.5 toefl=70 duolingo=95 gpa=null exams=[] conf=1.00 status=found
  OK istanbul-aydin-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istanbul-altinbas-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istanbul-gelisim-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istanbul-isik-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istanbul-kultur-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istanbul: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK istinye-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK izmir-economics-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK jagiellonian-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK iu-germany: ielts=null toefl=90 duolingo=null gpa=null exams=[] conf=0.86 status=found
  OK kaunas-university-of-technology: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK karelia-university-of-applied-sciences: ielts=null toefl=null duolingo=null gpa=null exams=[SAT] conf=0.83 status=found
  OK keck-grad: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE,MCAT] conf=0.83 status=found
  OK ku-leuven: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK la-trobe: ielts=null toefl=55 duolingo=null gpa=2.2 exams=[] conf=1.00 status=found
  OK lancaster-leipzig: ielts=null toefl=null duolingo=null gpa=3 exams=[] conf=0.92 status=found
  OK langara-college: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK lappeenranta-university-of-technology-lut: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK lazarski-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK lipscomb: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK make-a-comment: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK masaryk-university-czech: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK marist: ielts=null toefl=null duolingo=null gpa=2.5 exams=[SAT,ACT] conf=0.88 status=found
  OK master-s-degree-in-dublin-business-school-ireland-the-story-of-our-stu: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK maximizing-your-educational-pursuits-a-comprehensive-look-at-spring-in: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK mcdaniel-college-budapest: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK medical-degrees-in-europe: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK medipol-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK mater-dei: ielts=null toefl=null duolingo=null gpa=3 exams=[HSPT (High School Placement Test),English Proficiency Test (international students)] conf=0.92 status=found
  OK miami-oh: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE] conf=0.83 status=found
  OK montpellier-business-school: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK modul-university-vienna: ielts=7 toefl=79 duolingo=null gpa=null exams=[SAT] conf=0.89 status=found
  OK mphii-master-of-philosophy: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK naba-milano: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK new-european-college: ielts=6 toefl=null duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK open-consent-form: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK oregon: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK ozyegin-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK palm-beach-atlantic: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK partner-request-thank-you: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK partner-with-us: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK prague-university-of-economics: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK pte-scores-for-canada: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK queens-college-cuny: ielts=null toefl=null duolingo=null gpa=2.7 exams=[] conf=1.00 status=found
